Job_Title,Total_monetary_compensation
"Clinical Engineer",173000
"Hardware Design Engineer",200000
"Brand Advertising Manager",300000
"Floor Manager",65000
"Education Program Associate",54250
"Senior Wifi Engineer",178497
"Account Administration Specialist",81000
"Business Architect",188434
"Electrical construction estimator",82000
"Homelessness Prevention Case Manager",64417
"IBEW Electrician ",178497
"Learning Program Manager",169147
"Lifeguard, Swim Instructor",47817
"Manager, Information Development",158497
"Marketing and Communications Associate ",65497
"PR Manager (Account Supervisor)",123497
"Renewals Manager",350000
"Product Safety Engineer",115000
"Salesforce (CRM) Administrator",97797
"Senior Assistant Librarian",82845
"Director of Population Health and Business Operations",95000
"Senior Director of project managment",129000
"Senior Motion Designer",127897
"Senior recruiter ",210000
"Senior Technical Recruiter",108497
Botanist,81497
"Strategic Operations Manager",86000
"Sr. Content Designer",148497
"Sr. Engineer, Software Development",119236
"Tier 2 Copyright Admin",64497
"Litigation Assistant",94000
"Sr. Logistics Manager",109497
"Technical Writing Manager",190000
"Plant Manager ",91497
"Regional program director ",83497
"Senior ",110497
"Supplier and Subcontractor Program Manager ",81000
"Corporation Tax Specialist",65997
"Policy Lead",65497
Stocker,18820
"Training and Development Coordinator",43600
"Senior Business Systems Analyst ",1136000
"Senior Analytical Officer",52497
"Coordinator, Marketing and Promotion",63497
"Customer Service Representative V",67497
"Social Media Associate",78497
"Global Partner Marketing Manager",185380
"Manager of Customer Support ",38000
"Principal User Experience Designer",183700
"Executive Administrator ",85000
"IT Infrastructure Manager",200000
"Parts Manager",56000
"Senior Revenue Accountant",118497
"Senior Corporate Councel",130529
"Head of Strategy ",63497
Coach,140004
"Inventory Manager",144314
"Business Support Associate",45037
"History Teacher",128097
"Loss Prevention Analyst",77497
"HR Technician",86054
"Managing Director ",136497
"E-File Clerk",42617
"Sr. Contracts Specialist",95997
"Sales Support Specialist",57000
"Pricing Clerk",52497
"Administrative Assistant I",66497
"Sr. Operations Engineer",110000
"Research Chemist / Training Supervisor",83497
"Life Coach",84497
"Senior Marketing Strategist and Writer ",167000
"Android Engineer",105997
"Customer Solution Engineer",185000
"Global Payroll and Compensation Analyst",87097
"Head of People Operations",126000
"Influencer Program Manager",163497
"Junior Mechanical Design Engineer",105000
"Lead Elementary Computer Science Teacher/Mentor",73497
"Senior Principal Engineer",168000
"Consumer Services Supervisor",77000
"Physics Teacher",68497
"Merchant Specialist",47497
"Public Defender Investigator",105997
"Sales Advisor",27630
"Senior Manager Accounting",185000
"Manager of Communications and Engagement",57177
"Supervising Care Manager",91497
"Senior Aditor",56497
"Senior executive search consultant",94500
"Water Resources Manager",94497
"Computer System Validation Engineer",100100
"Senior Biologist/ Regulatory Specialist",89360
"Sales, Gemologist",87497
"Community Outreach ",61497
"Development and Implementation Specialist",74500
"Fire Alarm Designer",84000
"Head of Solutions Engineering ",276000
"Loan processor ",45600
"Wholesale Operations Coordinator",51500
"Training Project Manager",63497
"Director of Product Development",144971
"Customer Project Officer",41000
"Communications and Development Director",83497
"Director Regional Sales",157000
"Administration Assistant ",43497
"Admissions Operations Assistant",45737
"Community Association Manager",66000
"Construction materials testing tech",45497
"Client Services Coordinator",61337
"Front Office Associate",55097
"Import Operations Specialist",63497
"Simulation test engineer",110497
"Chief operating officer ",53497
"Health Systems Comptroller",153497
"SLT Administrator ",35376
"Application Support Engineer Expert",50500
"Associate Learning Designer",47497
"Change and Internal Communications Manager",58600
"PMO Manager",110097
"Events and Communications Coordinator ",43497
"Executive Director of Communications",90000
Teacher-Humanities,62497
"Lead Software Developer",112994
"Facility Lead",31300
"Key Holder",38457
"Accountant III",69906
"Assistant Director of Residence Life",64497
"Assistant Professor in 2D Foundations",75497
"Budget Manager ",78750
"Senior Technical Data Analyst",168497
"Lead Dispatcher",63000
"Superior Court Staff Attorney",102497
"Supervisory Mechanical Engineer",121000
"Import Manager",83497
"General accounting manager",175497
"Financial Planning Assistant",78987
"Client Service Manager",171497
"1st Grade Teacher",89497
"Global HR Business Partner",158600
"Beauty Advisor",35497
"Shopper Marketing Manager",69000
"Global Program Manager",149500
"Lead Payroll and Benefits Specialist",70400
"Publishing Programme Manager",55497
"Senior Internal Training Specialist 2",60000
"HR Coordinator and Payroll",77497
"Associate Director Data Analysis",98497
"Client success manager ",80000
"Director of Learning and Development",264000
"Senior Marketing Executive ",43497
"Sr. Director, Employee Benefits",121200
"Executive Admin and Board Liaison",78497
"Expert Technical Writer",99000
"Museum Registrar ",69497
"Senior iOS Developer",138497
"Retail Bank Teller",47654
"Associate Director, Pre-Health Advising",76497
"Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity",75497
"Regional Director of Revenue Management",81742
TPM,275000
"Digital Asset Specialist",67200
"Games User Research",162994
"Associate Principal ",98000
"Accounts Receivable Manager",67000
"Comp, Benefits and HRIS Manager",114400
"Associate Director, Marketing Communications",191000
"PC Support Tech II",71497
"Senior Physicist",48000
"Audio Engineer",40497
"Senior Demand Manager",72000
"Clinical Trial Coordinator",77997
"Customer service Lead",70624
"Boutique assistant ",48000
"Market research manager ",102300
"Corporate Strategy Senior Manager",165000
"Research Scientist and Program Manager",120497
"Data Entry Clerk",57497
"Director, eCommerce",193556
"Customer Experience Supervisor",74720
"Director of Compensation and Benefits ",167000
"Associate Financial Planner",65000
"Security Operation Specialist",89000
"QA Engineering Lead",225000
"Senior UX Developer",114497
Expert,61000
"Advisory Analyst ",44000
"Executive Assistant - SVP",92000
"Business Representative",93497
"Reporting Analyst",67497
"International Program Manager",98497
"Senior Tech Ops",78497
"Lead Zookeeper",69497
"Deputy Division Director",163374
"Director of Housing Initiatives",128497
"Housing Programs Manager",104497
"Federal Consultant",105497
"Public Safety Auditor",125513
"Consumer Relations Manager",91569
"Licensed Independent Clinical Social Worker",85497
"Senior Records Analyst",92344
"Senior Web Producer",128497
"Social Science Researcher",96000
"Logistics Technician",58217
"Application Developer Senior",167000
Regional,13597
"User Experience Researcher and Designer ",104000
"Patent Prosecution Paralegal",93497
"A/P Accountant",84497
"Able Seaman",81077
"Academic Services Director",113497
"Accounting Specialist / H.R. Assistant",60000
"Adjunct Faculty Librarian",110497
"Demand Planning Analyst",209100
"Design Researcher",148500
"Advertising and Events Manager",92297
"Aerospace Planning Analyst",72300
"Designer / Developer",109497
"Sales support specialist ",75497
"Architectural Project Coordinator ",60000
"Artistic Director",55497
"Digital Media Project Manager",128000
"Director - IT Strategy",229000
"Associate Network Engineer",79378
"Attorney (Junior Partner)",163497
"Avionics Engineer III",149497
"Sr. Specialist of Controlling, Compliance and Regulatory Affairs ",74900
"Billing Coordinator",142712
"Bioinformatics Engineer",93497
"Director, Talent Acquisition",96100
"Wholesale planner",110000
"Campagin Director",73497
"Electrical Engineer I",75000
"Campaign Development Specialist ",52497
"Civil Engineer I",152497
"Client Computing Engineer",128105
"Cloud Solutions Media Support Engineer",165000
"Communication Associate",57497
"Merchandise Planning Manager",142000
"Community Volunteer Support Lead",58200
"Senior Campaign Writer",101497
"Contracts/Grants Manager",73497
"Flight Attendant",50000
"Corporate Investigator",81497
"Corporate Quality Manager",96000
"Creative Producer",111200
"Senior ecologist",93000
"Head of Vendor Management",304000
"Housing Associate",40997
"Data Entry Specialist",54889
"Data Migration Consultant",95000
"Data Processing",85858
"Data Strategy and Analytics Consultant",132497
"Design Project Manager ",108497
"Development Consultant",98497
"Digital Account Manager",113797
"Digital Marketing and Social Manager",67000
"Learning Content Designer",92000
"Consultant and Project Manager",108000
"Director of Cybersecurity",133497
"Director of Development and Marketing",105497
"Audiovisual Design Associate",98497
"Director Strategic Programs and Internal Communications",149505
"Entertainment media translator",75000
"Office Manager/COO",100557
"Event Scheduler",74497
"Facilities Coordinator",73400
"Finance Analyst",179997
"Financial Analyst III",114437
"Flight Test Engineer",93000
"Global Mobility Program Manager",94000
"Grants and Contracts Coordinator",76997
"Visual Merchandising Manager",80497
"Customer Service Rep, entry level",41497
"HR Generalist II",153997
"HR Manager, Employee Relations",103000
"HR Project Associate",63000
"People and Culture Coordinator",63500
"HVAC/R/VRF service tech",163497
"Information Security Officer",162000
"Businesses Analyst Manager ",148497
"IP Paralegal",94497
"Sr. Fraud Data Analyst",56000
"Junior Transport planner ",68000
"Manager - HR Business Analytics",127000
"Manager II, Revenue Operations",138497
"Manager of Technical Editing",99747
"Manager, Product Management (Technical)",300000
"Master Trainer",130497
"Memory Loss Program Coordinator",53497
"Mortgage accountant",58000
"Product Manager - Technical ",265000
"Museum Collections Manager",70497
"Nonprofit Program Manager",85497
"Bookseller ",36000
"Program Launch Manager",163497
"Cake Decorator",97000
"Portfolio Oversight Analyst",81840
"Import Sourcing Manager-Apparel",90000
"Sr. Financial Planner",106000
"Sr. Manager Institutional",88497
"Sr. HRBP",184000
"Producer ",153497
"Product Engineer",70497
"UX Research Director ",123000
"Product Support Manager",81997
"Purchasing Manager",78497
"Production Stage Manager",78497
"Program Assistant III",64637
"Head of Department in University Library ",64497
"Renewable Energy Program Manager",109497
"Assistant Store Manager ",148000
"Sales and Marketing Associate",46000
"Sales Floor/Stocking",36897
"Produce Manager",138994
"Program Operations Specialist ",76497
"Incident Response Analyst",63497
"Consultant II  ",210000
"Internal Communications Manager",110000
"Corporate Tax Advisor ",41322
"Project Manager, Mechanical",104000
"Project Manager, Workplace Experience",70997
"Senior Content Developer",129700
"Sr. Manager, Data",149500
Management,57497
"Research Consultant",171497
"Research Scientist/Engineer",88497
"Research Technician II",85497
"Retail Manager",54000
"Senior Tech",27997
"Risk Operations Analyst",80000
"Scholarship Advisor",62000
"Sr. Marketing Cloud Consultant",136000
SDE,190000
"Search Engine Optimization Manager",76497
"Tech consultant ",96000
"Senior brand writer",126000
"Labor Relations Administrator",89997
"Senior Manager, Marketing and Business analytics",210000
"Senior Copyeditor",87500
"Senior software development engineer",913497
"Senior Credit Analyst ",205000
"Senior Data Quality Specialist",123497
"Senior Industrial Hygienist",91500
"Senior User Experience Researcher",215390
"Senior IT Specialist",133497
"Senior Penetration Tester",150000
"Settlement Project Manager",84700
"Senior Product Manager - Technical",230000
"Senior Program Assistant",65497
"Brand Specialist",73000
"Senior Sales Operations Analyst",84000
"Senior Sales Operations Specialist",100000
"Senior Security Analyst",395994
"Senior Software Implementation Engineer",156500
