Overall_Experience,Job_Title,Total_compensation
"5-7 years","Technical Services Manager",61525
"5-7 years","Technical Services Scientist ",108497
"5-7 years","Technical Solutions Manager",50997
"5-7 years","Technical specialist",36000
"5-7 years","Technical Support",46900
"5-7 years","Technical Support Analyst",78497
"5-7 years","Technical Support Associate",61000
"5-7 years","Technical Support Engineer",130000
"5-7 years","Technical Support Rep",50497
"5-7 years","Technical Support Specialist II",58497
"5-7 years","Technical Support Supervisor",55000
"5-7 years","Technical Writer",1261905
"5-7 years","Technical writer II",96000
"5-7 years","Technology Consultant",121400
"5-7 years","Technology Consulting Manager",142400
"5-7 years","Technology Senior Business Analyst",105000
"5-7 years","Technology sourcing manager",149000
"5-7 years","Teen Librarian",81497
"5-7 years","Teen Librarian ",57997
"5-7 years","Teen Services and Digital Creativity Library",55497
"5-7 years","Telephonic Practice Area Consultant",57000
"5-7 years",Teller,36500
"5-7 years","Teller II",43000
"5-7 years",Temp,51497
"5-7 years","Tenant Services Coordinator ",54377
"5-7 years","Territory Manager",46497
"5-7 years","Test Analyst",43497
"5-7 years","Test Automation Engineer",140000
"5-7 years","Test automation engineer ",98497
"5-7 years","Test Centre Administrator",53497
"5-7 years","Test Development Coordinator",78497
"5-7 years","Test engineer",58497
"5-7 years","Test Officer",76497
"5-7 years","Testing Center Coordinator",58497
"5-7 years","Testing Manager",93000
"5-7 years","Textile Conservator ",69047
"5-7 years","Theatrical Lighting Designer",49497
"5-7 years",Therapist,174991
"5-7 years","Therapist ",63497
"5-7 years","Title Assistant",52060
"5-7 years","Title I Paraprofessional ",44905
"5-7 years","Title Speciaist",51000
"5-7 years","Total Rewards Manager",158000
"5-7 years","Town Clerk",51977
"5-7 years","Trade Advisory Consultant",71000
"5-7 years","Trade Development Coordinator",59000
"5-7 years",Trainer,60000
"5-7 years","Training and Development Coordinator",43600
"5-7 years","Training and development specialist ",54497
"5-7 years","Training and Professional Development Specialist",67497
"5-7 years","Training and Quality Assurance Coordinator",68374
"5-7 years","Training Associate",72281
"5-7 years","Training Coordinator",231491
"5-7 years","Training Manager",107000
"5-7 years","Training Project Manager",63497
"5-7 years","Transcript Evaluator",58000
"5-7 years",Translator,48325
"5-7 years","Translator/Interpreter ",63600
"5-7 years","Transportation Construction Inspector III",55497
"5-7 years","Transportation Engineer",92997
"5-7 years","Transportation engineer ",168537
"5-7 years","Transportation Planning Associate",112497
"5-7 years","Treasury Management Specialist",39700
"5-7 years","Trial Attorney",280000
"5-7 years","Undergraduate and graduate assistant",73497
"5-7 years",Underwriter,208000
"5-7 years","Underwriting Supervisor",120200
"5-7 years","Unemployment Benefits Specialist",111025
"5-7 years","Unit Clinical Coordinator",78700
"5-7 years","Universal account expert",37800
"5-7 years","Universal Banker",51497
"5-7 years","University Library Technician",63497
"5-7 years","University Services Associate",36497
"5-7 years",Unknown,43326
"5-7 years","Urban Planner",93497
"5-7 years","Urban planner ",73197
"5-7 years","User Experience Designer",98497
"5-7 years","User Experience Researcher",449497
"5-7 years","User Experience Specialist",88000
"5-7 years","User Researcher",171497
"5-7 years","User Services Librarian",63497
"5-7 years","UX Designer",521494
"5-7 years","UX Engineer",104500
"5-7 years","UX Manager",103497
"5-7 years","UX Researcher",82397
"5-7 years","UX Researcher II",103497
"5-7 years","UX Specialist",73497
"5-7 years","validation engineer",100580
"5-7 years","Value stream manager",135000
"5-7 years","Vehicle Dynamics Engineer",120000
"5-7 years","Vehicle Repair Supervisor",56800
"5-7 years","Vendor Manager",75000
"5-7 years","Venture Analyst",48305
"5-7 years","Venue Sales Manager",49497
"5-7 years",Veterinarian,231497
"5-7 years","Veterinarian ",63497
"5-7 years","Veterinary surgical assistant",36500
"5-7 years","Veterinary Technician",68497
"5-7 years","VFX Generalist",178960
"5-7 years","Vice President",628497
"5-7 years","Vice President Infrastructure",138497
"5-7 years","Vice President, Compliance Officer",215000
"5-7 years","Vice President, Operations",133497
"5-7 years","Vice President, Senior Counsel",162000
"5-7 years","Video Editor",106364
"5-7 years",Videomaker,42600
"5-7 years","Virtualization Engineer",93497
"5-7 years","Visiting Assistant Professor",145094
"5-7 years","Visiting Instructor",73397
"5-7 years","Visiting Lecturer",65497
"5-7 years","Visitor Services Assistant Manager",34497
"5-7 years","Visitor Services Coordinator",51497
"5-7 years","Visitor Services Coordinator/ Collections Manager",33650
"5-7 years","Visitor use assistant",45497
"5-7 years","Visual Analytics Consultant",99497
"5-7 years","Visual Designer",184500
"5-7 years","Volunteer and Partnerships Program Manager",25200
"5-7 years","Volunteer Manager",153494
"5-7 years","Volunteer Specialist",52097
"5-7 years","Volunteer supervisor",51497
"5-7 years","Volunteer Training Manager",59497
"5-7 years",VP,155000
"5-7 years","VP Global Account Management",274000
"5-7 years","VP of Investor Relations",180000
"5-7 years","VP of Marketing and Operations",105000
"5-7 years","VP Operations and HR",93497
"5-7 years",Waiter,53000
"5-7 years",waitress,61000
"5-7 years","Warehouse Manager",78497
"5-7 years","Warehouse Purchasing Coordinator",48497
"5-7 years","Warehouse Supervisor",92000
"5-7 years","Water Pump Service Specialist",48400
"5-7 years","Water treatment operator",65497
"5-7 years","Wax Cell Operator C",44759
"5-7 years","Web Developer",312861
"5-7 years","Website Designer/Developer",58497
"5-7 years","Wedding photographer",48497
"5-7 years","Weekend Night Manager",63000
"5-7 years",Welder,76000
"5-7 years","Wetland Biologist",63800
"5-7 years","Whiskey historian ",57000
"5-7 years","Wholesale Operations Coordinator",51500
"5-7 years","Wordpress Developer",68497
"5-7 years","Workday Implementation Consultant",101497
"5-7 years","Worker Compensation Case Manager",63497
"5-7 years","Workforce Analyst ",68497
"5-7 years","Working Student",35400
"5-7 years","Year Abroad Officer",40997
"5-7 years","Youth and adult program educator ",31600
"5-7 years","Youth Pastor",55497
"5-7 years","Youth programming Library",66405
"5-7 years","Youth Programs Coordinator",65497
"5-7 years","Youth Services Associate",40084
"5-7 years","Youth Services Librarian",193147
"5-7 years","Zoo Keeper",45817
"8 - 10 years"," Analyst",67800
"8 - 10 years"," CAP team",36520
"8 - 10 years","24 Frame Video Playback",206000
"8 - 10 years","3d artist",21000
"8 - 10 years","5th Grade Teacher",63497
"8 - 10 years","6-8 English as a Second Language Teacher",62505
"8 - 10 years","6th Grade ELA/History Teacher",64497
"8 - 10 years","Academic Advisor",461479
"8 - 10 years","Academic Advisor ",68497
"8 - 10 years","Academic Librarian",165994
"8 - 10 years","academic librarian ",73497
"8 - 10 years","Academic Planner",85497
"8 - 10 years","Academic Records Coordinator",68297
"8 - 10 years","Accessibility Consultant",120000
"8 - 10 years","Account Administration Specialist",81000
"8 - 10 years","Account Director",131000
"8 - 10 years","Account Executive",616497
"8 - 10 years","Account Lead",99497
"8 - 10 years","Account manager",1309488
"8 - 10 years","Account Manager ",81000
"8 - 10 years","Account Officer",50000
"8 - 10 years","Account Payable",48497
"8 - 10 years","Account Supervisor",250494
"8 - 10 years","Account Supervisor ",103497
"8 - 10 years",Accountant,496985
"8 - 10 years","Accounting Analyst ",82500
"8 - 10 years","Accounting and office administrator ",82830
"8 - 10 years","Accounting Assistant ",58497
"8 - 10 years","Accounting Clerk",153937
"8 - 10 years","Accounting Clerk I",39844
"8 - 10 years","Accounting Clerk/Sales Coordinator",42617
"8 - 10 years","Accounting Manager",968035
"8 - 10 years","Accounting Specialist",58497
"8 - 10 years","Accounting Supervisor",125000
"8 - 10 years","Accounting Support",44520
"8 - 10 years","Accounts payable",65497
"8 - 10 years","Accounts Payable ",54497
"8 - 10 years","Accounts Payable Clerk",61497
"8 - 10 years","Accounts Payable Manager",101500
"8 - 10 years","Accounts Receivable",35500
"8 - 10 years","Accounts Receivable ",48497
"8 - 10 years","Accounts Receivable Manager",67000
"8 - 10 years","Acquisition Editor",63000
"8 - 10 years","Acquisition Editor ",185094
"8 - 10 years","Activities Coordinator ",34800
"8 - 10 years","Actuarial associate ",108500
"8 - 10 years",Actuary,105030
"8 - 10 years","Adjudication Specialist",82997
"8 - 10 years","Adjunct Instructor",62347
"8 - 10 years","Adjunct professor",144491
"8 - 10 years","Adjunct Professor ",58497
"8 - 10 years","Administration Director ",42500
"8 - 10 years","Administration Manager",116494
"8 - 10 years","Administration Support",78697
"8 - 10 years",Administrative,57000
"8 - 10 years","Administrative ",48297
"8 - 10 years","Administrative Analyst II",137652
"8 - 10 years","Administrative Assistant",1186291
"8 - 10 years","Administrative assistant ",284868
"8 - 10 years","Administrative Assistant and Systems Analyst",35700
"8 - 10 years","Administrative Assistant II",43911
"8 - 10 years","Administrative Assistant/HR",56497
"8 - 10 years","Administrative Clerk II",62874
"8 - 10 years","Administrative Coordinator",258988
"8 - 10 years","Administrative Information Management Specialist Supervisor / ATIP coordinator",65497
"8 - 10 years","Administrative Manager",122792
"8 - 10 years","Administrative Officer",207515
"8 - 10 years","Administrative Specialist",212494
"8 - 10 years","Administrative Support",123994
"8 - 10 years",Administrator,109294
"8 - 10 years","Administrator ",37497
"8 - 10 years","Admission Counselor",58000
"8 - 10 years","Admissions Advisor",193591
"8 - 10 years","Adolescent Social Worker",78997
"8 - 10 years","Adoptions Client Care Supervisor ",63916
"8 - 10 years","Adult Services Librarian",219291
"8 - 10 years","Adult Services Manager",65497
"8 - 10 years","Advanced Specialist Speech and Language Therapist",54391
"8 - 10 years","Advancement Accounting Assistant",54072
"8 - 10 years",Advisor,184097
"8 - 10 years","Advisory Manager",125000
"8 - 10 years","Advocacy and Policy Officer",80597
"8 - 10 years","Advocate ",63497
"8 - 10 years","Aerospace Design Engineer",110197
"8 - 10 years","Aerospace Engineer",105000
"8 - 10 years","Aerospace Planning Analyst",72300
"8 - 10 years","Affordable Housing Manager",80497
"8 - 10 years","After School Program Leader",40497
"8 - 10 years","Aftermarket Sales Manager",53980
"8 - 10 years","Agency Attorney",91000
"8 - 10 years","AI consultant",133500
"8 - 10 years","Air Export Supervisor",66500
"8 - 10 years","Aircraft Dispatcher",150000
"8 - 10 years","Airline Operations",62000
"8 - 10 years","All Source Intelligence Analyst ",123497
"8 - 10 years","Alliance Manager",104400
"8 - 10 years","Ambulatory care pharmacist",161810
"8 - 10 years",Analyst,1082550
"8 - 10 years","Analyst ",181000
"8 - 10 years","Analyst Manager",71500
"8 - 10 years","Analytical Assistant Team Supervisor",79374
"8 - 10 years","Analytical Biologist",102000
"8 - 10 years","Analytical technical services manager",75000
"8 - 10 years","Analytics Manager",420594
"8 - 10 years","Analytics Manager Sr",157500
"8 - 10 years","Annual Fund Manager",79497
"8 - 10 years","AP Admin ",51497
"8 - 10 years","APAC Digital Marketing Specialist",126500
"8 - 10 years","Apparel Technical Designer",246000
"8 - 10 years","Appellate Attorney",99997
"8 - 10 years","Application Analyst",88497
"8 - 10 years","Application developer",232774
"8 - 10 years","Application Engineer",89200
"8 - 10 years","Application Support Analyst",55997
"8 - 10 years","Application Support Engineer",80772
"8 - 10 years","Appraiser Assistant",56000
"8 - 10 years","Aquatics Director ",60497
"8 - 10 years",Architect,181000
"8 - 10 years","Architect ",103497
"8 - 10 years","Architect, Quality Engineering",142500
"8 - 10 years","Architectural Designer",55000
"8 - 10 years","Architectural Project Manager",79000
"8 - 10 years","Architectural Technologist",61272
"8 - 10 years","Archives Technician",50497
"8 - 10 years",Archivist,906617
"8 - 10 years","Archivist and Records Manager ",63497
"8 - 10 years","Area Coordinator ",108796
"8 - 10 years","Area Sales Manager",75500
"8 - 10 years","Armored Car Driver",36112
"8 - 10 years","Arts Producer",85497
"8 - 10 years","Asociate Project Leader",102497
"8 - 10 years","Asset Manager",75000
"8 - 10 years",Assistant,15900
"8 - 10 years","Assistant ",28000
"8 - 10 years","Assistant Acquisitions Editor",57104
"8 - 10 years","Assistant Attorney General",187494
"8 - 10 years","Assistant Character Designer",65497
"8 - 10 years","Assistant Company Secretary",59497
"8 - 10 years","Assistant Controller",137197
"8 - 10 years","Assistant Counsel",125497
"8 - 10 years","Assistant Curator ",71997
"8 - 10 years","Assistant Director",1074545
"8 - 10 years","Assistant Director ",493388
"8 - 10 years","Assistant Director - Medical Library",80497
"8 - 10 years","Assistant Director of Admission",192991
"8 - 10 years","Assistant Director of Advancement Services",63797
"8 - 10 years","Assistant Director of Communication",96497
"8 - 10 years","Assistant Director of Education",201794
"8 - 10 years","Assistant Director of Faculty Programs",98497
"8 - 10 years","Assistant Director of Finance",167994
"8 - 10 years","Assistant director of finance ",66497
"8 - 10 years","Assistant Director of Institutional Research",103497
"8 - 10 years","Assistant Director of Major Gifts",88497
"8 - 10 years","Assistant Director of Research",91497
"8 - 10 years","Assistant Director of Study Abroad",78497
"8 - 10 years","Assistant Director-Residence Life",46497
"8 - 10 years","Assistant Director, Admissions",91497
